date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:22	525/525	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260b32473-20d%22	https://arpitjainds.github.io/images/icons/icon-arrow-right.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/icon-arrow-right.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:23	779/779	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260b32473-30b%22	https://arpitjainds.github.io/images/icons/icon-link.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/icon-link.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:23	634/634	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260b32473-27a%22	https://arpitjainds.github.io/images/icons/icon-video.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/icon-video.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:24	755/755	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2260b32473-2f3%22	https://arpitjainds.github.io/images/icons/icon-audio.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/icon-audio.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:24	1667/1667	---M--	200	added ('OK')	image/png	etag:%2260b32473-683%22	https://arpitjainds.github.io/images/icons/social/iconfinder_FB_1217141.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/iconfinder_FB_1217141.png	(from https://arpitjainds.github.io/css/main.css)
21:50:24	3914/3914	---M--	200	added ('OK')	image/png	etag:%2260b32473-f4a%22	https://arpitjainds.github.io/images/icons/social/iconfinder_TWITTER_1217163.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/iconfinder_TWITTER_1217163.png	(from https://arpitjainds.github.io/css/main.css)
21:50:25	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ff310-247b%22	https://arpitjainds.github.io/images/icons/social/icon-dribbble.svg	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/icon-dribbble.svg	(from https://arpitjainds.github.io/css/main.css)
21:50:25	16073/16073	---M--	200	added ('OK')	image/png	etag:%2260b32473-3ec9%22	https://arpitjainds.github.io/images/icons/social/iconfinder_BEHANCE_1217158.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/iconfinder_BEHANCE_1217158.png	(from https://arpitjainds.github.io/css/main.css)
21:50:25	5559/5559	---M--	200	added ('OK')	image/png	etag:%2260b32473-15b7%22	https://arpitjainds.github.io/images/icons/social/iconfinder_INSTAGRAM_1217174.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/iconfinder_INSTAGRAM_1217174.png	(from https://arpitjainds.github.io/css/main.css)
21:50:26	2590/2590	---M--	200	added ('OK')	image/png	etag:%2260b32473-a1e%22	https://arpitjainds.github.io/images/icons/social/iconfinder_LINKEDIN_1217173.png	C:/My%20Web%20Sites/project1/arpitjainds.github.io/images/icons/social/iconfinder_LINKEDIN_1217173.png	(from https://arpitjainds.github.io/css/main.css)
